Number of  tweets per day that contains at least one of the collected keywords around the Centenary,
created_at_parsed,Count of records
2014-04-01,585
2014-04-02,1471
2014-04-03,1351
2014-04-04,1301
2014-04-05,758
2014-04-06,2216
2014-04-07,1383
2014-04-08,1521
2014-04-09,159
2014-04-10,628
2014-04-11,1471
2014-04-12,1081
2014-04-13,1289
2014-04-14,1705
2014-04-15,1797
2014-04-16,1921
2014-04-17,1383
2014-04-18,1311
2014-04-19,795
2014-04-20,1315
2014-04-21,1141
2014-04-22,1406
2014-04-23,921
2014-04-24,1631
2014-04-25,2182
2014-04-26,1730
2014-04-27,1679
2014-04-28,3321
2014-04-29,1517
2014-04-30,1573
2014-05-01,1692
2014-05-02,1817
2014-05-03,1532
2014-05-04,1045
2014-05-05,1052
2014-05-06,49
2014-05-07,30
2014-05-08,0
2014-05-09,1798
2014-05-10,1221
2014-05-11,1385
2014-05-12,2488
2014-05-13,1898
2014-05-14,1484
2014-05-15,1990
2014-05-16,2491
2014-05-17,1895
2014-05-18,1804
2014-05-19,1898
2014-05-20,1889
2014-05-21,1401
2014-05-22,0
2014-05-23,1181
2014-05-24,1282
2014-05-25,1368
2014-05-26,1450
2014-05-27,2375
2014-05-28,1755
2014-05-29,1890
2014-05-30,2051
2014-05-31,1495
2014-06-01,1324
2014-06-02,2060
2014-06-03,1790
2014-06-04,1709
2014-06-05,1586
2014-06-06,1507
2014-06-07,1226
2014-06-08,1521
2014-06-09,1957
2014-06-10,2415
2014-06-11,1834
2014-06-12,1402
2014-06-13,1704
2014-06-14,1095
2014-06-15,1352
2014-06-16,1460
2014-06-17,2312
2014-06-18,1958
2014-06-19,1956
2014-06-20,1731
2014-06-21,1215
2014-06-22,1014
2014-06-23,1928
2014-06-24,2030
2014-06-25,2757
2014-06-26,3555
2014-06-27,4567
2014-06-28,12029
2014-06-29,3976
2014-06-30,3249
2014-07-01,5754
2014-07-02,3811
2014-07-03,2919
2014-07-04,3571
2014-07-05,1861
2014-07-06,1632
2014-07-07,2518
2014-07-08,2226
2014-07-09,2618
2014-07-10,2488
2014-07-11,2311
2014-07-12,1299
2014-07-13,1847
2014-07-14,2380
2014-07-15,2197
2014-07-16,2531
2014-07-17,2536
2014-07-18,1853
2014-07-19,1518
2014-07-20,2229
2014-07-21,972
2014-07-22,0
2014-07-23,2156
2014-07-24,3367
2014-07-25,2653
2014-07-26,2014
2014-07-27,3160
2014-07-28,8594
2014-07-29,4922
2014-07-30,4992
2014-07-31,4760
2014-08-01,8209
2014-08-02,7831
2014-08-03,14349
2014-08-04,110684
2014-08-05,39047
2014-08-06,9862
2014-08-07,6684
2014-08-08,5191
2014-08-09,3708
2014-08-10,4766
2014-08-11,4091
2014-08-12,2914
2014-08-13,3298
2014-08-14,2802
2014-08-15,2719
2014-08-16,2612
2014-08-17,2612
2014-08-18,2600
2014-08-19,2956
2014-08-20,3146
2014-08-21,3446
2014-08-22,3781
2014-08-23,4019
2014-08-24,3620
2014-08-25,3426
2014-08-26,4252
2014-08-27,4183
2014-08-28,3618
2014-08-29,4231
2014-08-30,2517
2014-08-31,4680
2014-09-01,4351
2014-09-02,3598
2014-09-03,3406
2014-09-04,2119
2014-09-05,2650
2014-09-06,1976
2014-09-07,3334
2014-09-08,3825
2014-09-09,3438
2014-09-10,2833
2014-09-11,2863
2014-09-12,2704
2014-09-13,2034
2014-09-14,2954
2014-09-15,2829
2014-09-16,2384
2014-09-17,2574
2014-09-18,2468
2014-09-19,2791
2014-09-20,2099
2014-09-21,2009
2014-09-22,3271
2014-09-23,3676
2014-09-24,2676
2014-09-25,2649
2014-09-26,3718
2014-09-27,2634
